recording_id	recording_title	performer_name	label_name	catalog_number	source_id	source_reference	confidence	review_status
REC001107	Danza De Tata Juriata Y Nana Cutzi	Orquesta De Cuerdas Y Alientos De Alejandro Perucho	Peerless	1663	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001120	De Cuando En Cuando	Martin Y Malena	Peerless	1999	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001172	Derecho Viejo	Orquesta De Juan Garcia Medeles	Peerless	3181	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001189	Desolación	Dueto Aguila Y Sol	Peerless	7701	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001196	Desprecio	Martin Y Eloisa	Peerless	1864	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001207	Desvelo De Amor	Orquesta De Memo Salamanca	Peerless	7035	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001246	Dios Nunca Muere	Orquesta Sinfonica De Daniel Pérez Castañeda	Peerless	1891	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001253	Distintos Caminos	Laurita y Ray	Peerless	2857	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001263	Donde Encontraras	Cuarteto Armonico	Peerless	4414-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001267	Donde Estas Juventud	Lola Beltran Y Hnos. Michel	Peerless	4565B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001271	Donde Me La Pinten Brinco	Laurita y Ray	Peerless	2584	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001283	Dos Corazones	Martin Y Eloisa	Peerless	1831	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001286	Dos Cosas Distintas	Orquesta J. S. Garrido	Peerless	3633	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001294	Dos Mariposas	Martin Y Malena	Peerless	3276	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001296	Dos Pajarillos	Martin Y Eloisa	Peerless	1962	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001297	Dos Palomas Al Volar	Martin Y Malena	Peerless	2791	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001298	Dos Palomas Al Volar	Luis Aquiles Orchestra	Peerless	10010-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001299	Dos Seres Que Se Aman	Dueto Aguila Y Sol	Peerless	7649-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001309	Dulce Imagen	Cuarteto Armonico	Peerless	4186-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001313	Duro A La Pachanga	Martin Y Malena	Peerless	2804	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001323	Ecucha Mi Canta	Orquesta Tropical	Peerless	2405	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001325	El Abandonado	Laurita y Ray	Peerless	2808	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001328	El Abrojo	Martin Y Malena	Peerless	2619	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001349	El Alardoso	Marimba Orquesta De Los Hermanos Paniagua	Peerless	4665B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001361	El Anillo Grabado	Dueto Adan Y Eva	Peerless	3684	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001368	El Arrepentido	Dueto Adan Y Eva	Peerless	3684	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001377	El Bandolero	Martin Y Eloisa	Peerless	1936	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001378	El Bandolero Mexicano	Martin Y Martita	Peerless	2274	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001394	El Borrachito	Martin Y Malena	Peerless	2637	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001402	El Bracero	Martin Y Malena	Peerless	2080	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001404	El Bravero	Martin Y Malena	Peerless	2029	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001415	El Caballo Bayo	Angelina Y Tono	Peerless	2313	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001416	El Caballo Bayo	Lola Beltran y Los Tres Cotorros	Peerless	4839-B	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001425	El Caballo Ensillado	Martin Y Eloisa	Peerless	1991	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001456	El Carro Del Sol	Cuarteto Armonico	Peerless	4504A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001471	El Charro Negro	Martin Y Eloisa	Peerless	1857	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001476	El Chinito De La Habana	Cuates Castilla Y Ana Morena	Peerless	4298-A	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001477	El Chivo	Martin Y Malena	Peerless	2027	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001494	El Compadre De Tololoche	Duarte y sus Corsarios	Peerless	3802	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001504	El Cordobes	Mariachi Oro Y Plata De Pepe Chávez	Peerless	2046	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC001506	El Corrido De Felipe Angeles	Poncho Y Martha	Peerless	LPL-325	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
