unit_candidate_id	product_title	artist_name	artist_entity_type	candidate_title	existing_recording_id	existing_song_id	review_reason	matched_entity_type	matched_entity_id	matched_authority_name	recovery_status	target_primary_group_id	target_primary_performer_id	unit0145_status
UNIT0113-17-052	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	9. Linda Rosa - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-053	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	10. Te Castigo Haciendote Llorar Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-054	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	11. Que Regrese - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-055	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	12. Voy Cantando - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-056	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	13. El Casado Arrepentido - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-057	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	14. Cumbia Marinera - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-058	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	15. El Maestro - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-059	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	16. El Tizon - La Sonora Dinamita			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-060	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	17. Manuelito Barrios - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-061	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	18. Casi Casi - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-062	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	19. Entonces Cuando - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-063	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	20. La Bandolera - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-064	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	DISCO NUMERO 4			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-065	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	1. Ya Se Marcho - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-066	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	2. Masculino Y Femenino - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-067	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	3. El Cangrejito Enamorado - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-068	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	4. Se La Llevo El Tren - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-069	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	5. Lorenza - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-070	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	6. Linda Muchachita - Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-071	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	7. Carita De Cielo - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-072	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	8. Amor Por Computadora - Rodolfo Aicardi Y Su Tipica Ra7			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-073	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	9. La Burra Y La Chiva - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-074	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	10. Mi Cumbion - Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
UNIT0113-17-075	USB - Colección 100 Exitos de Rodolfo Aicardi	Rodolfo Aicardi	performer	11. Mis Zapatos Viejos- Los Hispanos			artist_not_matched_to_authority	performer	PER000338	Rodolfo Aicardi	artist_authority_now_exists			review_multiple_or_missing_recording_id
