recording_id	recording_title	recording_path	performer_name	label_name	catalog_number	format	source_id	source_reference	confidence	review_status
REC004744	Sin Tu Amor	/recordings/sin-tu-amor-21	Hermanos Zaizar	Peerless	S-1461	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004745	Sin Tu Amor	/recordings/sin-tu-amor-22	Los Baby’s	Peerless	LP-1999	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004746	Sin Tu Presencia	/recordings/sin-tu-presencia-2	Juan Mendoza	Peerless	7856	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004747	Sin Tu Presencia	/recordings/sin-tu-presencia-4	Juan Mendoza	Peerless	LD-581	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004748	Sincero Corazon	/recordings/sincero-corazon-4	Pedro Infante	Peerless	4764-B	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004749	Sinfonia	/recordings/sinfonia-1	Margarita Romero	Peerless	2344	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004750	Siquisiri	/recordings/siquisiri	Hermanos Huesca	Peerless	2293	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004751	Soberbia	/recordings/soberbia-22	Salvador Huerta	Peerless	LP-2015	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004752	Sobras	/recordings/sobras-4	Martin Becerra	Peerless	10075-A	45	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004753	Sobre La Montaña	/recordings/sobre-la-monta%C3%B1a-4	Mariachi Tapatio Marmolejo	Peerless	2130	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004754	Sobre Las Olas	/recordings/sobre-las-olas-20	Pedro Infante	Peerless	2416	78	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC004755	Sobre Las Olas	/recordings/sobre-las-olas-26	Pedro Infante	Peerless	LPL-185	33	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
