batch_recording_id	confidence	evidence_text	relationship_type	review_status	source_id	source_reference	source_url
SRC0002-B0004-REC041	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='1', raw_track='La Sombra de Tu Sonrisa'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC042	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='2', raw_track='Santo Domingo'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC043	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='3', raw_track='El Toro Miura'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC044	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='4', raw_track='Cumbia en Do Menor'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC045	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='5', raw_track='El Tirabuzón'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC046	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='6', raw_track='La Morena Encarnación'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC047	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='7', raw_track='La Ñeca'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC048	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='8', raw_track='Cumbia Cienaguera'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC049	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='9', raw_track='En la Madrugá'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC050	high	Discos Fuentes shop product page: release='Colección 100 Cumbias, Porros y Gaitas del Siglo', track='10', raw_track='Cumbia Sampuesana'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/
SRC0002-B0004-REC051	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='1', raw_track='El Barquito'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC052	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='2', raw_track='La Chivita'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC053	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='3', raw_track='Los Diez Perritos'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC054	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='4', raw_track='El Cucú'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC055	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='5', raw_track='La Gallinita Josefina'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC056	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='6', raw_track='Los Pollitos Dicen'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC057	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='7', raw_track='Arriba Juan'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC058	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='8', raw_track='La Mar'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC059	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='9', raw_track='Pulgarcito'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
SRC0002-B0004-REC060	high	Discos Fuentes shop product page: release='Colección 100 Canciones Infantiles', track='10', raw_track='La Cucaracha'	primary_source	staged_for_review	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/#track-10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-canciones-infantiles/
