batch_recording_id	artist_candidate_id	raw_artist_text	relationship_type	source_id	source_reference	evidence_text	confidence	review_status
SRC0002-B0003-REC065	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-1	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='1', raw_track='Cosas Como Tu'	high	staged_for_review
SRC0002-B0003-REC066	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-2	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='2', raw_track='Huri'	high	staged_for_review
SRC0002-B0003-REC067	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-3	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='3', raw_track='La Cumparsita'	high	staged_for_review
SRC0002-B0003-REC068	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-4	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='4', raw_track='Mis Flores Negras'	high	staged_for_review
SRC0002-B0003-REC069	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-5	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='5', raw_track='Ojos Negros'	high	staged_for_review
SRC0002-B0003-REC070	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-6	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='6', raw_track='Perdón'	high	staged_for_review
SRC0002-B0003-REC071	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-7	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='7', raw_track='Prenda del Alma'	high	staged_for_review
SRC0002-B0003-REC072	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-8	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='8', raw_track='Prisionero de Tus Brazos'	high	staged_for_review
SRC0002-B0003-REC073	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-9	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='9', raw_track='Pueblito Viejo'	high	staged_for_review
SRC0002-B0003-REC074	SRC0002-B0003-ART012	Toño Fuentes	credited_artist_candidate	SRC0002	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-homenaje-a-tono-fuentes/#track-10	Discos Fuentes shop product page: release='Colección 100 - Homenaje a Toño Fuentes', track='10', raw_track='Quiéreme Mucho'	high	staged_for_review
