recording_id	group_id	role	source_id	confidence	review_status
REC001400	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001401	GRP0174	primary_group	SRC0001	high	raw_extracted
REC001405	GRP0082	primary_group	SRC0001	high	raw_extracted
REC001406	GRP0169	primary_group	SRC0001	high	raw_extracted
REC001407	GRP0066	primary_group	SRC0001	high	raw_extracted
REC001408	GRP0069	primary_group	SRC0001	high	raw_extracted
REC001411	GRP0035	primary_group	SRC0001	high	raw_extracted
REC001412	GRP0029	primary_group	SRC0001	high	raw_extracted
REC001429	GRP0161	primary_group	SRC0001	high	raw_extracted
REC001431	GRP0135	primary_group	SRC0001	high	raw_extracted
REC001432	GRP0136	primary_group	SRC0001	high	raw_extracted
REC001433	GRP0150	primary_group	SRC0001	high	raw_extracted
REC001434	GRP0148	primary_group	SRC0001	high	raw_extracted
REC001435	GRP0045	primary_group	SRC0001	high	raw_extracted
REC001437	GRP0073	primary_group	SRC0001	high	raw_extracted
REC001438	GRP0073	primary_group	SRC0001	high	raw_extracted
REC001442	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001449	GRP0079	primary_group	SRC0001	high	raw_extracted
REC001450	GRP0168	primary_group	SRC0001	high	raw_extracted
REC001451	GRP0168	primary_group	SRC0001	high	raw_extracted
REC001452	GRP0086	primary_group	SRC0001	high	raw_extracted
REC001453	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001454	GRP0168	primary_group	SRC0001	high	raw_extracted
REC001455	GRP0086	primary_group	SRC0001	high	raw_extracted
REC001461	GRP0043	primary_group	SRC0001	high	raw_extracted
REC001462	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001464	GRP0030	primary_group	SRC0001	high	raw_extracted
REC001465	GRP0169	primary_group	SRC0001	high	raw_extracted
REC001470	GRP0099	primary_group	SRC0001	high	raw_extracted
REC001472	GRP0077	primary_group	SRC0001	high	raw_extracted
REC001473	GRP0115	primary_group	SRC0001	high	raw_extracted
REC001474	GRP0034	primary_group	SRC0001	high	raw_extracted
REC001475	GRP0158	primary_group	SRC0001	high	raw_extracted
REC001478	GRP0051	primary_group	SRC0001	high	raw_extracted
REC001479	GRP0115	primary_group	SRC0001	high	raw_extracted
REC001481	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001482	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001483	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001485	GRP0079	primary_group	SRC0001	high	raw_extracted
REC001488	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001489	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001490	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001493	GRP0019	primary_group	SRC0001	high	raw_extracted
REC001495	GRP0038	primary_group	SRC0001	high	raw_extracted
REC001496	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001500	GRP0073	primary_group	SRC0001	high	raw_extracted
REC001512	GRP0185	primary_group	SRC0001	high	raw_extracted
REC001514	GRP0097	primary_group	SRC0001	high	raw_extracted
REC001516	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001517	GRP0015	primary_group	SRC0001	high	raw_extracted
REC001518	GRP0012	primary_group	SRC0001	high	raw_extracted
REC001519	GRP0021	primary_group	SRC0001	high	raw_extracted
REC001524	GRP0185	primary_group	SRC0001	high	raw_extracted
REC001529	GRP0197	primary_group	SRC0001	high	raw_extracted
REC001532	GRP0186	primary_group	SRC0001	high	raw_extracted
REC001533	GRP0115	primary_group	SRC0001	high	raw_extracted
REC001534	GRP0137	primary_group	SRC0001	high	raw_extracted
REC001535	GRP0136	primary_group	SRC0001	high	raw_extracted
REC001536	GRP0137	primary_group	SRC0001	high	raw_extracted
REC001539	GRP0136	primary_group	SRC0001	high	raw_extracted
REC001540	GRP0201	primary_group	SRC0001	high	raw_extracted
REC001544	GRP0033	primary_group	SRC0001	high	raw_extracted
REC001548	GRP0115	primary_group	SRC0001	high	raw_extracted
REC001550	GRP0067	primary_group	SRC0001	high	raw_extracted
REC001558	GRP0186	primary_group	SRC0001	high	raw_extracted
REC001559	GRP0126	primary_group	SRC0001	high	raw_extracted
REC001565	GRP0169	primary_group	SRC0001	high	raw_extracted
REC001566	GRP0071	primary_group	SRC0001	high	raw_extracted
REC001568	GRP0166	primary_group	SRC0001	high	raw_extracted
REC001569	GRP0167	primary_group	SRC0001	high	raw_extracted
REC001572	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001574	GRP0081	primary_group	SRC0001	high	raw_extracted
REC001575	GRP0169	primary_group	SRC0001	high	raw_extracted
REC001578	GRP0027	primary_group	SRC0001	high	raw_extracted
REC001579	GRP0137	primary_group	SRC0001	high	raw_extracted
REC001580	GRP0192	primary_group	SRC0001	high	raw_extracted
