recording_id	source_id	relationship_type	source_reference	confidence	review_status
REC000168	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000169	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000170	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000171	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000172	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000173	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000174	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000175	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000176	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000177	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000178	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000179	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000180	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000181	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000182	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000183	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000184	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000185	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000186	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000187	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
REC000188	SRC0001	authority_source	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	high	raw_extracted
