unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	artist_entity_type	matched_performer_id	matched_group_id	track_number_in_source_extract	candidate_title	source_tracklist_status	source_extract_method	existing_recording_id	existing_song_id	candidate_status	review_reason	current_song_id	current_recording_id	recalculated_status
UNIT0113-04-002	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			2	Malao de Caña – La Sonora Matancera	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-003	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			3	El Que Siembra Su Maíz – Orquesta de Bebo Valdés	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-004	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			4	A San Lázaro (Babalú) – Celina y Reutilio	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-005	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			5	Lupita – Fruko y Orquesta	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-006	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			6	Yo Tengo Pena – Los Compadres	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-007	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			7	Mira Que Eres LInda – Roberto Ledesma	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-008	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			8	Alegre Petición – Trío Matamoros	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-009	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			9	Nuevamente – Orlando Contreras	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-04-010	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	performer			10	Adiós Compay Gato – Los Guaracheros de Oriente	partial_10_of_15	description_tab			REVIEW_REQUIRED	source_tracklist_partial_or_estimated;artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-05-001	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			1	Las Tapas	complete_or_exceeds_track_count	short_description	REC005630	SONG004275	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004275	REC005630	already_matched_current_authority
UNIT0113-05-002	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			2	Quiero Ser Feliz	complete_or_exceeds_track_count	short_description	REC005631	SONG004276	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004276	REC005631	already_matched_current_authority
UNIT0113-05-003	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			3	03 Amor Serrano Demo	complete_or_exceeds_track_count	short_description			REVIEW_REQUIRED	artist_not_matched_to_authority			review_required_no_current_match
UNIT0113-05-004	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			4	Plegaria	complete_or_exceeds_track_count	short_description	REC004074;REC004075;REC005633	SONG003054	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG003054	REC004074;REC004075;REC005633	already_matched_current_authority
UNIT0113-05-005	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			5	Capullo De Rosa Blanca	complete_or_exceeds_track_count	short_description	REC005634	SONG004278	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004278	REC005634	already_matched_current_authority
UNIT0113-05-006	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			6	El Bailador	complete_or_exceeds_track_count	short_description	REC005577;REC005635	SONG004232	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG004232	REC005577;REC005635	already_matched_current_authority
UNIT0113-05-007	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	performer			7	Cumbia Arabe	complete_or_exceeds_track_count	short_description	REC001087;REC005636	SONG000822	REVIEW_REQUIRED	recording_title_exists;song_title_exists;artist_not_matched_to_authority	SONG000822	REC001087;REC005636	already_matched_current_authority
