recording_id	canonical_recording_title	canonical_song_id	primary_group_id	primary_performer_id	recording_genre_id	release_id	label_id	recording_year	country	language	source_id	confidence	review_status	created_at	updated_at
REC000240	Amor De La Calle			PER000108			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000241	Amor De Locura			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000242	Amor De Locura			PER000127			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000243	Amor De Los Dos			PER000130			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000247	Amor De Mi Bohio			PER000132			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000248	Amor De Mi Vida			PER000141			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000249	Amor De Mi Vida			PER000052			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000250	Amor De Mis Amores			PER000219			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000251	Amor De Palomos			PER000263			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000254	Amor Del Alma			PER000117			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000255	Amor Del Alma			PER000151			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000256	Amor Del Alma			PER000133			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000257	Amor Del Bueno			PER000211			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000259	Amor Es Perdon			PER000263			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000260	Amor Escondido			PER000225			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000263	Amor Indio			PER000153			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000267	Amor Necio			PER000177			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000268	Amor Perdido			PER000176			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000270	Amor Perdido			PER000107			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000271	Amor Perfecto			PER000117			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000272	Amor Ranchero			PER000141			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
REC000273	Amor Ranchero			PER000094			LBL000003				SRC0001	high	approved	2026-06-16	2026-06-16
