unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method
UNIT0113-04-010	SRC0002	4	USB - Colección 100 Exitos de Música Cubana	USB - Colección 100 Exitos de Música Cubana	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-exitos-de-musica-cubana/	Varios Artistas	Adiós Compay Gato – Los Guaracheros de Oriente	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000012	partial_10_of_15	description_tab
UNIT0113-05-001	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	Las Tapas	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005630	SONG004275				complete_or_exceeds_track_count	short_description
UNIT0113-05-002	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	Quiero Ser Feliz	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005631	SONG004276				complete_or_exceeds_track_count	short_description
UNIT0113-05-003	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	03 Amor Serrano Demo	performer_conflict	performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source						complete_or_exceeds_track_count	short_description
UNIT0113-05-004	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	Plegaria	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC004074;REC004075;REC005633	SONG003054				complete_or_exceeds_track_count	short_description
UNIT0113-05-005	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	Capullo De Rosa Blanca	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005634	SONG004278				complete_or_exceeds_track_count	short_description
UNIT0113-05-006	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	El Bailador	duplicate	existing_authority_title_match;duplicate_title_within_unit0113;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005577;REC005635	SONG004232				complete_or_exceeds_track_count	short_description
UNIT0113-05-007	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	Cumbia Arabe	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC001087;REC005636	SONG000822				complete_or_exceeds_track_count	short_description
UNIT0113-05-008	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	La Boquitrompona	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005637;REC005665	SONG004279				complete_or_exceeds_track_count	short_description
UNIT0113-05-009	SRC0002	5	USB - Que Viva Diciembre	USB - Que Viva Diciembre	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-que-viva-diciembre/	Varios Artistas	El Porteñito	duplicate	existing_authority_title_match;performer_or_group_not_resolved_to_authority;release_not_resolved_to_authority;short_description_only_source	REC005638	SONG004280				complete_or_exceeds_track_count	short_description
