recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC002265	Hechizo	SONG001697	LBL000003	SRC0001				artist
REC002266	Hermosa Adelaida	SONG001698	LBL000003	SRC0001				artist
REC002271	Hi Lili, Hi-Lo	SONG001701	LBL000003	SRC0001				artist
REC002285	Historia De Un Amor	SONG001714	LBL000003	SRC0001				artist
REC002289	Hoja De Un Arbol	SONG001716	LBL000003	SRC0001				artist
REC002291	Hoja Seca	SONG001717	LBL000003	SRC0001				artist
REC002297	Homenaje A Chucho Monge	SONG001721	LBL000003	SRC0001				artist
REC002298	Homenaje a Julio Lozano Diaz	SONG001722	LBL000003	SRC0001				artist
REC002302	Hotel Santa Barbara	SONG001725	LBL000003	SRC0001				artist
REC002311	Hoy Te Digo Adios	SONG001732	LBL000003	SRC0001				artist
REC002318	Humanidad	SONG001734	LBL000003	SRC0001				artist
REC002331	Imposible	SONG001743	LBL000003	SRC0001				artist
REC002343	Ingrata Mujer	SONG001751	LBL000003	SRC0001				artist
REC002356	Intimo Secreto	SONG001762	LBL000003	SRC0001				artist
REC002361	Isabelita	SONG001766	LBL000003	SRC0001				artist
REC002369	Jalisco Lindo	SONG001772	LBL000003	SRC0001				artist
REC002381	Jarabe Tapatio	SONG001779	LBL000003	SRC0001				artist
REC002386	Jesus Cordoba	SONG001782	LBL000003	SRC0001				artist
REC002396	Juan Chamalonga	SONG001791	LBL000003	SRC0001				artist
REC002397	Juan Charrasqueado	SONG001792	LBL000003	SRC0001				artist
REC002404	Juanita Aparicio	SONG001798	LBL000003	SRC0001				artist
REC002408	Jugo De Piña	SONG001802	LBL000003	SRC0001				artist
REC002418	Kid Azteca	SONG001811	LBL000003	SRC0001				artist
REC002419	La Vacilada	SONG001812	LBL000003	SRC0001				artist
REC002436	La Bamba	SONG001825	LBL000003	SRC0001				artist
REC002437	La Bamba	SONG001825	LBL000003	SRC0001				artist
REC002448	La Barca De Oro	SONG001830	LBL000003	SRC0001				artist
REC002458	La Burla	SONG001839	LBL000003	SRC0001				artist
REC002499	La Chaparrita Del Cafe	SONG001859	LBL000003	SRC0001				artist
REC002502	La Chapulina	SONG001861	LBL000003	SRC0001				artist
REC002505	La Chipichanga	SONG001864	LBL000003	SRC0001				artist
REC002533	La Cumparsita	SONG001886	LBL000003	SRC0001				artist
REC002540	La Embarcacion	SONG001893	LBL000003	SRC0001				artist
REC002548	La Enramada	SONG001897	LBL000003	SRC0001				artist
REC002573	La Gallina Blanca	SONG001911	LBL000003	SRC0001				artist
REC002604	La Invasion	SONG001932	LBL000003	SRC0001				artist
REC002618	La Lola	SONG001942	LBL000003	SRC0001				artist
REC002623	La Lupita	SONG001945	LBL000003	SRC0001				artist
REC002624	La Madre Del Cordero	SONG001946	LBL000003	SRC0001				artist
REC002627	La Mal Casada	SONG001948	LBL000003	SRC0001				artist
REC002633	La Malagueña Cruzada	SONG001951	LBL000003	SRC0001				artist
REC002641	La Mancha De La Pobreza	SONG001957	LBL000003	SRC0001				artist
REC002643	La Mancornadora	SONG001958	LBL000003	SRC0001				artist
REC002644	La Mancornadora	SONG001958	LBL000003	SRC0001				artist
REC002655	La Mariquita	SONG001967	LBL000003	SRC0001				artist
REC002661	La Mejor Faena	SONG001971	LBL000003	SRC0001				artist
REC002667	La Modesta	SONG001977	LBL000003	SRC0001				artist
REC002668	La Modesta	SONG001977	LBL000003	SRC0001				artist
REC002694	La Mula Bronca	SONG001997	LBL000003	SRC0001				artist
REC002696	La Negra	SONG001999	LBL000003	SRC0001				artist
REC002727	La Palma	SONG002015	LBL000003	SRC0001				artist
REC002742	La Pascasia	SONG002021	LBL000003	SRC0001				artist
REC002788	La Raspa	SONG002057	LBL000003	SRC0001				artist
REC002789	La Raspa	SONG002057	LBL000003	SRC0001				artist
REC002798	La Rielera	SONG002063	LBL000003	SRC0001				artist
REC002805	La Segunda Despedida	SONG002070	LBL000003	SRC0001				artist
