recording_id	canonical_recording_title	canonical_song_id	label_id	source_id	recording_year	country	language	gap
REC003240	Marque Mi Corazon	SONG002390	LBL000003	SRC0001				artist
REC003248	Mateo Magdaleno	SONG002397	LBL000003	SRC0001				artist
REC003288	Me He De Comer Esa Tuna	SONG002429	LBL000003	SRC0001				artist
REC003296	Me Muero	SONG002436	LBL000003	SRC0001				artist
REC003327	Menitras	SONG002463	LBL000003	SRC0001				artist
REC003331	Mentirosa Luna	SONG002467	LBL000003	SRC0001				artist
REC003353	Mi Cabaña	SONG002487	LBL000003	SRC0001				artist
REC003367	Mi Casita De Paja	SONG002495	LBL000003	SRC0001				artist
REC003415	Mi Nuevo Cha, Cha, Cha	SONG002534	LBL000003	SRC0001				artist
REC003433	Mi Polkita	SONG002550	LBL000003	SRC0001				artist
REC003436	Mi Querer	SONG002552	LBL000003	SRC0001				artist
REC003438	Mi Querida Alicia	SONG002553	LBL000003	SRC0001				artist
REC003461	Mi Ultimo Fracaso	SONG002570	LBL000003	SRC0001				artist
REC003473	Mi Virgen Ranchera	SONG002579	LBL000003	SRC0001				artist
REC003485	Mil Besos	SONG002589	LBL000003	SRC0001				artist
REC003498	Mirando Arriba	SONG002599	LBL000003	SRC0001				artist
REC003524	Morir Soñando	SONG002615	LBL000003	SRC0001				artist
REC003547	Mujer Hilandera	SONG002632	LBL000003	SRC0001				artist
REC003560	Musica De La Danza De Chananscua	SONG002645	LBL000003	SRC0001				artist
REC003561	Musica De La Danza De Guach -Guarariacha	SONG002646	LBL000003	SRC0001				artist
REC003562	Musica De La Danza De La Paracat-Uarari	SONG002647	LBL000003	SRC0001				artist
REC003563	Musica De La Danza De Los Curpitis	SONG002648	LBL000003	SRC0001				artist
REC003564	Musica De La Danza De Los Viejitos	SONG002649	LBL000003	SRC0001				artist
REC003565	Musica De La Danza Del Curuch-Urapiti	SONG002650	LBL000003	SRC0001				artist
REC003569	Muy Enamorados	SONG002654	LBL000003	SRC0001				artist
REC003581	Nada Gano Con Quererte	SONG002665	LBL000003	SRC0001				artist
REC003605	Nereidas	SONG002683	LBL000003	SRC0001				artist
REC003608	Ni Cuerpo Ni Corazon	SONG002686	LBL000003	SRC0001				artist
REC003613	Ni Plata Ni Cobre	SONG002689	LBL000003	SRC0001				artist
REC003619	Niegalo Pues	SONG002695	LBL000003	SRC0001				artist
REC003622	No	SONG002697	LBL000003	SRC0001				artist
REC003633	No Hace Falta	SONG002706	LBL000003	SRC0001				artist
REC003634	No Hagas Polvo	SONG002707	LBL000003	SRC0001				artist
REC003638	No Hay Nada Entre Los Dos	SONG002711	LBL000003	SRC0001				artist
REC003640	No Les Pido Amor De Caridad	SONG002713	LBL000003	SRC0001				artist
REC003654	No Me Digas Nada	SONG002726	LBL000003	SRC0001				artist
