recording_id	label_id	relationship_type	source_id	confidence	review_status
REC000300	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000301	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000302	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000303	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000304	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000305	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000306	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000307	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000308	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000309	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000310	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000311	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000312	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000313	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000314	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000315	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000316	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000317	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000318	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000319	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000320	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000321	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000322	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000323	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000324	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000325	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000326	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000327	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000328	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000329	LBL000002	recording_label	SRC0001	high	raw_extracted
REC000330	LBL000002	recording_label	SRC0001	high	raw_extracted
