song_id	performer_id	relationship_type	source_id	confidence	review_status
SONG003464	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003494	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003505	PER000312	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003520	PER000293	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003524	PER000309	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003585	PER000293	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003592	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003593	PER000330	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003603	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003635	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003648	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003660	PER000305	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003670	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003690	PER000331	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003694	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003695	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003699	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003706	PER000311	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003743	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003750	PER000312	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003758	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003786	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003788	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003790	PER000303	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003790	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003812	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003849	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003853	PER000299	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003859	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003864	PER000332	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003868	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003897	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003899	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003944	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003949	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003958	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003962	PER000323	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003964	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003975	PER000322	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003983	PER000293	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG003988	PER000314	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004012	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004023	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004027	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004044	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004064	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004067	PER000304	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004084	PER000302	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004088	PER000295	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004094	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004127	PER000305	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004158	PER000324	derived_from_updated_recording_artist	SRC0001	medium	staged
SONG004165	PER000325	derived_from_updated_recording_artist	SRC0001	medium	staged
