raw_source_id	raw_source_unit	raw_page	raw_row_in_page	source_id	source_reference	recording_path	raw_recording_title	recording_title	performer_name	composer_name	label_name	catalog_number	format	evidence_text	confidence	review_status
SRC-0010	frontera_peerless_ajax_full_0001	1	4	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/pedazos-4	A Pedazos	A Pedazos	Los Johnny Jets	Mendez, Federico	Peerless	S-1706	33	Frontera Peerless AJAX row: title='A Pedazos', performer='Los Johnny Jets', label='Peerless', catalog='S-1706', format='33', path='/recordings/pedazos-4'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	5	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/poco-no-8	A Poco No	A Poco No	Lola Beltrán	Lara, Agustín	Peerless	8561-B	45	Frontera Peerless AJAX row: title='A Poco No', performer='Lola Beltrán', label='Peerless', catalog='8561-B', format='45', path='/recordings/poco-no-8'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	6	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/poco-no-11	A Poco No	A Poco No	Beatriz Adriana	Velazquez, Enrique	Peerless	1029-A	45	Frontera Peerless AJAX row: title='A Poco No', performer='Beatriz Adriana', label='Peerless', catalog='1029-A', format='45', path='/recordings/poco-no-11'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	7	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/poco-no-12	A Poco No	A Poco No	Lola Beltrán	Lara, Agustín	Peerless	LD-1160	33	Frontera Peerless AJAX row: title='A Poco No', performer='Lola Beltrán', label='Peerless', catalog='LD-1160', format='33', path='/recordings/poco-no-12'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	8	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/poco-no-13	A Poco No	A Poco No	Beatriz Adriana	Velazquez, Enrique	Peerless	LP-1986	33	Frontera Peerless AJAX row: title='A Poco No', performer='Beatriz Adriana', label='Peerless', catalog='LP-1986', format='33', path='/recordings/poco-no-13'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	9	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/prision-perpetua-10	A Prision Perpetua	A Prision Perpetua	Julio Aldama	Sánchez, Cuco	Peerless	5047	78	Frontera Peerless AJAX row: title='A Prision Perpetua', performer='Julio Aldama', label='Peerless', catalog='5047', format='78', path='/recordings/prision-perpetua-10'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	10	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/punto-de-gritar	A Punto De Gritar	A Punto De Gritar	Hermanos Zaizar	Mendez, Federico	Peerless	S-1634	33	Frontera Peerless AJAX row: title='A Punto De Gritar', performer='Hermanos Zaizar', label='Peerless', catalog='S-1634', format='33', path='/recordings/punto-de-gritar'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	11	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/punto-de-llorar-11	A Punto De Llorar	A Punto De Llorar	Lola Beltrán	Jiménez, José Alfredo	Peerless	5004	45	Frontera Peerless AJAX row: title='A Punto De Llorar', performer='Lola Beltrán', label='Peerless', catalog='5004', format='45', path='/recordings/punto-de-llorar-11'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	12	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/punto-de-llorar-12	A Punto De Llorar	A Punto De Llorar	Lola Beltrán	Jiménez, José Alfredo	Peerless	5194	78	Frontera Peerless AJAX row: title='A Punto De Llorar', performer='Lola Beltrán', label='Peerless', catalog='5194', format='78', path='/recordings/punto-de-llorar-12'	high	raw_extracted
SRC-0010	frontera_peerless_ajax_full_0001	1	13	SRC0001	Frontera Collection Drupal Views AJAX /songs?f[0]=field_record_label_t:8216	/recordings/pu%C3%B1o-limpio-0	A Puño Limpio	A Puño Limpio	Salvador García	Martinez Serrano, L.	Peerless	2150	78	Frontera Peerless AJAX row: title='A Puño Limpio', performer='Salvador García', label='Peerless', catalog='2150', format='78', path='/recordings/pu%C3%B1o-limpio-0'	high	raw_extracted
