unit_candidate_id	source_id	source_row	release_title	product_title	release_url	artist_name	candidate_title	review_class	review_detail	existing_recording_id	existing_song_id	matched_performer_id	matched_group_id	resolved_release_id	source_tracklist_status	source_extract_method	candidate_title_clean	extracted_artist_name	split_status	recovered_match_type	recovered_performer_id	recovered_group_id	recovered_entity_name	recovery_status	final_candidate_title	final_artist_name	final_performer_id	final_group_id	unit0119_status	unit0119_recheck_reasons	unit0120_status	unit0120_blockers
UNIT0113-09-001	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	La Sombra de Tu Sonrisa - Pacho Galán y Su Orquesta	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	La Sombra de Tu Sonrisa	Pacho Galán y Su Orquesta	split	none				split_only	La Sombra de Tu Sonrisa	Pacho Galán y Su Orquesta		GRP0282	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-002	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	Santo Domingo - Los Cumbiamberos de Pacheco	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	Santo Domingo	Los Cumbiamberos de Pacheco	split	group		GRP0273	Los Cumbiamberos de Pacheco	recovered_entity	Santo Domingo	Los Cumbiamberos de Pacheco		GRP0273	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-003	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	El Toro Miura - Los Corraleros de Majagual	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	El Toro Miura	Los Corraleros de Majagual	split	group		GRP0088	Los Corraleros De Majagual	recovered_entity	El Toro Miura	Los Corraleros de Majagual		GRP0088	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-004	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	Cumbia en Do Menor - Lito Barrientos y Su Orquesta	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	Cumbia en Do Menor	Lito Barrientos y Su Orquesta	split	none				split_only	Cumbia en Do Menor	Lito Barrientos y Su Orquesta		GRP0288	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-005	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	El Tirabuzón - Clímaco Sarmiento y Su Orquesta	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	El Tirabuzón	Clímaco Sarmiento y Su Orquesta	split	none				split_only	El Tirabuzón	Clímaco Sarmiento y Su Orquesta		GRP0289	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-006	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	La Morena Encarnación - Los Corraleros de Majagual	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	La Morena Encarnación	Los Corraleros de Majagual	split	group		GRP0088	Los Corraleros De Majagual	recovered_entity	La Morena Encarnación	Los Corraleros de Majagual		GRP0088	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-007	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	La Ñeca - Pedro Laza y Sus Pelayeros	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	La Ñeca	Pedro Laza y Sus Pelayeros	split	none				split_only	La Ñeca	Pedro Laza y Sus Pelayeros		GRP0290	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-008	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	Cumbia Cienaguera - Conjunto Típico Vallenato	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	Cumbia Cienaguera	Conjunto Típico Vallenato	split	group		GRP0274	Conjunto Típico Vallenato	recovered_entity	Cumbia Cienaguera	Conjunto Típico Vallenato		GRP0274	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-009	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	En la Madrugá - Pacho Galán y Su Orquesta	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	En la Madrugá	Pacho Galán y Su Orquesta	split	none				split_only	En la Madrugá	Pacho Galán y Su Orquesta		GRP0282	review_required	partial_source_tracklist	promotion_candidate	
UNIT0113-09-010	SRC0002	9	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	USB - Colección 100 Cumbias, Porros y Gaitas del Siglo	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/usb-coleccion-100-cumbias-porros-y-gaitas-del-siglo/	Varios Artistas	Cumbia Sampuesana - Conjunto Típico Vallenato	performer_conflict	partial_or_estimated_source_tracklist;performer_or_group_not_resolved_to_authority					REL000014	partial_10_of_15	description_tab	Cumbia Sampuesana	Conjunto Típico Vallenato	split	group		GRP0274	Conjunto Típico Vallenato	recovered_entity	Cumbia Sampuesana	Conjunto Típico Vallenato		GRP0274	review_required	partial_source_tracklist	promotion_candidate	
