batch_song_id	promotion_status	master_song_id	canonical_song_title_candidate	match_basis	source_id	source_name	source_url	release_candidate_id	release_title	side	track_number	source_reference	evidence_text	confidence	review_status
SRC0002-B0005-SONG033	MATCH_EXISTING	SONG003788	Traicionera	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='3', raw_track='Traicionera'	high	staged_for_review
SRC0002-B0005-SONG034	MATCH_EXISTING	SONG004313	El Hijo Ausente	same_batch_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-4	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='4', raw_track='El Hijo Ausente'	high	staged_for_review
SRC0002-B0005-SONG035	NEW	SONG004330	Golpe con Golpe	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='5', raw_track='Golpe con Golpe'	high	staged_for_review
SRC0002-B0005-SONG036	NEW	SONG004331	Fue Por Una Cerveza	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='6', raw_track='Fue Por Una Cerveza'	high	staged_for_review
SRC0002-B0005-SONG037	NEW	SONG004332	Añoranza Febril	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		7	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-7	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='7', raw_track='Añoranza Febril'	high	staged_for_review
SRC0002-B0005-SONG038	NEW	SONG004333	Brisas del Valle	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		8	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-8	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='8', raw_track='Brisas del Valle'	high	staged_for_review
SRC0002-B0005-SONG039	NEW	SONG004334	Cállate Corazón	new_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		9	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-9	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='9', raw_track='Cállate Corazón'	high	staged_for_review
SRC0002-B0005-SONG040	MATCH_EXISTING	SONG001044	El Ausente	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/	SRC0002-B0005-REL004	Colección 100 Exitos de Pastor López		10	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-pastor-lopez-usb-8-gb/#track-10	Discos Fuentes shop product page: release='Colección 100 Exitos de Pastor López', track='10', raw_track='El Ausente'	high	staged_for_review
SRC0002-B0005-SONG041	MATCH_EXISTING	SONG004225	Los Sabanales	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual		1	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-1	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='1', raw_track='Los Sabanales'	high	staged_for_review
SRC0002-B0005-SONG042	MATCH_EXISTING	SONG004226	La Yerbita	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual		2	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-2	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='2', raw_track='La Yerbita'	high	staged_for_review
SRC0002-B0005-SONG043	MATCH_EXISTING	SONG004227	No Me Busques	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual		3	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-3	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='3', raw_track='No Me Busques'	high	staged_for_review
SRC0002-B0005-SONG044	MATCH_EXISTING	SONG004228	Suéltala Pa' Que Se Defienda	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual		4	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-4	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='4', raw_track='Suéltala Pa' Que Se Defienda'	high	staged_for_review
SRC0002-B0005-SONG045	MATCH_EXISTING	SONG004229	Tres Tigres	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual		5	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-5	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='5', raw_track='Tres Tigres'	high	staged_for_review
SRC0002-B0005-SONG046	MATCH_EXISTING	SONG004230	Cumbiamberita	normalized_song_title	SRC0002	Discos Fuentes	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/	SRC0002-B0005-REL005	Colección 100 Exitos de Los Corraleros de Majagual		6	https://tiendadiscosfuentes.com/productos/musica-memoria-usb/colecciones-usb/coleccion-100-exitos-de-los-corraleros-de-majagual-usb-8-gb/#track-6	Discos Fuentes shop product page: release='Colección 100 Exitos de Los Corraleros de Majagual', track='6', raw_track='Cumbiamberita'	high	staged_for_review
